1858,535,0
1858,3222,0
535,1858,0
535,3222,0
3222,1858,0
3222,535,0
2347,20729,1
2347,22052,1
20729,2347,1
20729,22052,1
22052,2347,1
22052,20729,1
21238,4383,2
21238,22718,2
21238,21901,2
4383,21238,2
4383,22718,2
4383,21901,2
22718,21238,2
22718,4383,2
22718,21901,2
21901,21238,2
21901,4383,2
21901,22718,2
18134,22122,3
18134,2673,3
22122,18134,3
22122,2673,3
2673,18134,3
2673,22122,3
2082,9340,4
2082,21679,4
2082,2987,4
9340,2082,4
9340,21679,4
9340,2987,4
21679,2082,4
21679,9340,4
21679,2987,4
2987,2082,4
2987,9340,4
2987,21679,4
21408,5554,5
21408,16219,5
21408,21538,5
5554,21408,5
5554,16219,5
5554,21538,5
16219,21408,5
16219,5554,5
16219,21538,5
21538,21408,5
21538,5554,5
21538,16219,5
9553,9516,7
9516,9553,7
9795,6275,8
6275,9795,8
22908,21776,9
22908,21254,9
22908,12052,9
21776,22908,9
21776,21254,9
21776,12052,9
21254,22908,9
21254,21776,9
21254,12052,9
12052,22908,9
12052,21776,9
12052,21254,9
14311,18034,10
14311,20963,10
14311,6551,10
14311,15717,10
18034,14311,10
18034,20963,10
18034,6551,10
18034,15717,10
20963,14311,10
20963,18034,10
20963,6551,10
20963,15717,10
6551,14311,10
6551,18034,10
6551,20963,10
6551,15717,10
15717,14311,10
15717,18034,10
15717,20963,10
15717,6551,10
13141,7471,11
7471,13141,11
1715,9981,12
1715,5727,12
1715,3930,12
9981,1715,12
9981,5727,12
9981,3930,12
5727,1715,12
5727,9981,12
5727,3930,12
3930,1715,12
3930,9981,12
3930,5727,12
22325,20034,13
20034,22325,13
21389,12817,14
21389,9911,14
12817,21389,14
12817,9911,14
9911,21389,14
9911,12817,14
16480,22134,15
16480,16443,15
16480,15396,15
22134,16480,15
22134,16443,15
22134,15396,15
16443,16480,15
16443,22134,15
16443,15396,15
15396,16480,15
15396,22134,15
15396,16443,15
6699,16791,16
6699,10462,16
6699,22884,16
16791,6699,16
16791,10462,16
16791,22884,16
10462,6699,16
10462,16791,16
10462,22884,16
22884,6699,16
22884,16791,16
22884,10462,16
3323,21634,17
3323,20801,17
3323,5153,17
