id,tag,name
0,"cad","Computer-Aided Design"
1,"cagd","Computer Aided Geometric Design"
2,"cga","IEEE Computer Graphics and Applications"
3,"cgf","Computer Graphics Forum"
4,"tog","ACM Transactions on Graphics"
5,"tvcg","IEEE Transactions on Visualization and Computer Graphics"
6,"vc","The Visual Computer"
