idA1,idA2,idP
10123,5959,40
7437,10066,41
7437,5646,41
7437,1138,41
10066,7437,41
10066,5646,41
10066,1138,41
5646,7437,41
5646,10066,41
5646,1138,41
1138,7437,41
1138,10066,41
1138,5646,41
9415,12979,42
9415,9418,42
9415,6205,42
12979,9415,42
12979,9418,42
12979,6205,42
9418,9415,42
9418,12979,42
9418,6205,42
6205,9415,42
6205,12979,42
6205,9418,42
3674,16397,43
3674,14960,43
16397,3674,43
16397,14960,43
14960,3674,43
14960,16397,43
10836,2487,44
10836,14884,44
2487,10836,44
2487,14884,44
14884,10836,44
14884,2487,44
1652,5303,45
5303,1652,45
14664,17872,47
14664,17032,47
14664,1269,47
14664,2878,47
14664,17116,47
17872,14664,47
17872,17032,47
17872,1269,47
17872,2878,47
17872,17116,47
17032,14664,47
17032,17872,47
17032,1269,47
17032,2878,47
17032,17116,47
1269,14664,47
1269,17872,47
1269,17032,47
1269,2878,47
1269,17116,47
2878,14664,47
2878,17872,47
2878,17032,47
2878,1269,47
2878,17116,47
17116,14664,47
17116,17872,47
17116,17032,47
17116,1269,47
17116,2878,47
7968,9822,48
9822,7968,48
9872,11326,49
9872,1364,49
11326,9872,49
11326,1364,49
1364,9872,49
1364,11326,49
2759,15575,50
2759,9853,50
2759,7842,50
15575,2759,50
15575,9853,50
15575,7842,50
9853,2759,50
9853,15575,50
9853,7842,50
7842,2759,50
7842,15575,50
7842,9853,50
1660,18022,51
1660,16084,51
18022,1660,51
18022,16084,51
16084,1660,51
16084,18022,51
17155,1138,53
1138,17155,53
8870,1811,54
1811,8870,54
2318,16647,55
2318,14477,55
16647,2318,55
16647,14477,55
14477,2318,55
14477,16647,55
7573,6108,56
6108,7573,56
15359,12761,57
15359,5743,57
12761,15359,57
12761,5743,57
5743,15359,57
5743,12761,57
6814,903,58
6814,8477,58
903,6814,58
903,8477,58
8477,6814,58
8477,903,58
16604,17081,59
16604,1138,59
17081,16604,59
17081,1138,59
1138,16604,59
1138,17081,59
5680,17678,60
5680,14219,60
5680,11920,60
17678,5680,60
17678,14219,60
17678,11920,60
14219,5680,60
14219,17678,60
14219,11920,60
11920,5680,60
11920,17678,60
11920,14219,60
5562,13670,61
13670,5562,61
15567,15214,62
15567,12923,62
15214,15567,62
15214,12923,62
12923,15567,62
12923,15214,62
2590,10417,63
10417,2590,63
5706,9399,64
5706,17032,64
5706,6249,64
5706,17254,64
9399,5706,64
9399,17032,64
9399,6249,64
9399,17254,64
17032,5706,64
17032,9399,64
17032,6249,64
17032,17254,64
6249,5706,64
6249,9399,64
6249,17032,64
6249,17254,64
17254,5706,64
17254,9399,64
17254,17032,64
17254,6249,64
12008,7991,65
12008,6907,65
12008,5153,65
12008,9867,65
7991,12008,65
7991,6907,65
7991,5153,65
7991,9867,65
6907,12008,65
6907,7991,65
6907,5153,65
6907,9867,65
5153,12008,65
5153,7991,65
5153,6907,65
5153,9867,65
9867,12008,65
9867,7991,65
9867,6907,65
9867,5153,65
16469,10153,66
10153,16469,66
3251,16499,67
3251,9419,67
16499,3251,67
16499,9419,67
9419,3251,67
9419,16499,67
4046,9902,68
4046,4529,68
4046,11492,68
9902,4046,68
9902,4529,68
9902,11492,68
4529,4046,68
4529,9902,68
4529,11492,68
11492,4046,68
11492,9902,68
11492,4529,68
12555,15532,69
12555,3127,69
12555,17889,69
15532,12555,69
15532,3127,69
15532,17889,69
3127,12555,69
3127,15532,69
3127,17889,69
17889,12555,69
17889,15532,69
17889,3127,69
1,9935,71
9935,1,71
2867,16034,73
2867,16044,73
2867,12767,73
16034,2867,73
16034,16044,73
16034,12767,73
16044,2867,73
16044,16034,73
16044,12767,73
12767,2867,73
12767,16034,73
12767,16044,73
17457,6124,75
17457,14465,75
17457,7439,75
17457,2207,75
6124,17457,75
6124,14465,75
6124,7439,75
6124,2207,75
14465,17457,75
14465,6124,75
14465,7439,75
14465,2207,75
7439,17457,75
7439,6124,75
7439,14465,75
7439,2207,75
2207,17457,75
2207,6124,75
2207,14465,75
2207,7439,75
5706,2271,76
5706,17652,76
5706,17032,76
2271,5706,76
2271,17652,76
2271,17032,76
17652,5706,76
17652,2271,76
17652,17032,76
17032,5706,76
17032,2271,76
17032,17652,76
12702,3300,77
3300,12702,77
3201,12253,78
3201,5121,78
12253,3201,78
12253,5121,78
5121,3201,78
5121,12253,78
8082,4536,79
8082,16407,79
4536,8082,79
4536,16407,79
16407,8082,79
16407,4536,79
9168,10284,80
10284,9168,80
9205,3861,81
9205,14878,81
9205,14411,81
3861,9205,81
3861,14878,81
3861,14411,81
14878,9205,81
14878,3861,81
