idP,idC
8849,5
8850,5
8859,5
8863,5
8866,1
8868,1
8871,5
8874,1
8875,1
8880,5
8881,3
8884,1
8886,1
8888,5
8890,5
8891,1
8893,2
8894,3
8900,3
8906,5
8908,5
8913,5
8918,1
8922,5
8931,3
8939,3
8940,2
8941,2
8943,5
8948,5
8954,4
8955,5
8956,5
8957,2
8959,5
8960,5
8965,3
8966,5
8967,5
8968,5
8975,1
8976,1
8980,3
8985,1
8986,1
8990,2
8991,3
8992,2
8993,5
8996,1
9001,5
9002,5
9004,4
9007,5
9009,5
9014,1
9017,3
9018,2
9020,1
9025,5
9026,2
9033,5
9035,2
9037,1
9041,3
9043,3
9044,2
9047,5
9050,2
9052,5
9053,1
9055,1
9061,5
9062,1
9069,3
9073,5
9074,5
9078,1
9080,2
9081,5
9083,1
9084,5
9085,1
9086,3
9087,1
9089,1
9090,1
9092,1
9093,5
9096,5
9097,1
9098,3
9099,5
9100,1
9101,1
9103,5
9113,2
9117,4
9119,1
9120,1
9121,2
9129,3
9130,3
9131,5
9132,3
9133,5
9143,1
9145,5
9147,4
9151,5
9156,3
9158,3
9163,3
9164,1
9168,5
9170,1
9174,2
9175,3
9178,1
9182,2
9190,1
9191,1
9193,5
9195,1
9197,1
9198,1
9200,5
9203,2
9204,5
9207,1
9212,5
9215,1
9217,5
9218,2
9220,5
9221,3
9225,5
9229,5
9230,3
9231,5
9233,5
9234,3
9235,3
9236,4
9238,5
9241,5
9242,5
9246,1
9248,3
9251,5
9256,1
9258,1
9261,5
9262,3
9264,5
9266,5
9267,3
9269,1
9270,3
9277,1
9280,3
9281,3
9283,1
9289,5
9294,1
9297,3
9301,3
9304,1
9306,1
9307,5
9309,2
9313,2
9314,3
9318,5
9320,1
9327,4
9330,3
9332,1
9347,5
9348,1
9349,5
9358,1
9361,5
9364,5
9373,4
9374,5
9375,5
9383,2
9385,2
9386,3
9390,3
9391,3
9393,3
9394,5
9398,2
9401,1
9403,1
9411,3
9414,5
9415,3
9417,2
9422,1
9425,1
9426,1
9429,5
9430,5
9432,1
9433,1
9434,5
9437,5
9439,1
9441,5
9450,5
9453,1
9455,3
9457,2
9458,2
9459,5
9460,3
9464,5
9467,2
9468,3
9470,1
9472,5
9473,1
9475,3
9479,5
9483,5
9488,5
9489,1
9490,1
9497,3
9498,1
9499,1
9510,1
9511,5
9512,1
9513,5
9515,5
9516,5
9517,5
9518,5
9520,2
9522,5
9527,5
9531,1
9535,5
9538,5
9539,2
9542,5
9543,1
9544,1
9558,5
9561,5
9563,1
9566,3
9567,1
9569,2
9571,3
9575,1
9576,1
9580,5
9583,1
9587,4
9591,1
9592,1
9597,2
9598,1
9601,2
9609,5
9614,1
9620,2
9627,5
9632,3
9633,2
9635,1
9637,1
9639,2
9643,1
9647,1
9648,1
9649,2
9650,5
9653,1
9654,3
9657,5
9660,5
9662,5
9663,5
9664,1
9678,5
9679,5
9686,5
9693,3
9698,5
9700,2
9705,5
9707,1
9708,2
9711,2
9712,5
9713,3
9715,2
9716,2
9718,1
9726,5
9728,5
9732,2
9739,1
9743,1
9745,5
9750,1
9751,2
9757,1
9758,1
9761,1
9765,1
9766,5
9771,1
9774,5
9775,5
9780,5
9784,2
9787,1
9801,2
9803,5
9805,2
9806,2
9807,1
9809,5
9815,1
9819,1
9823,5
9824,2
9825,2
9827,5
9838,1
9840,1
9842,1
9850,3
9852,5
9854,2
9858,3
9859,3
9860,2
9864,2
9870,1
9875,1
9883,2
9884,5
9889,3
9892,1
9900,5
9905,1
9907,1
9910,5
9911,1
9913,3
9919,5
9924,4
9931,2
9932,1
9934,1
9936,1
9938,1
9939,5
9941,2
9943,1
9944,5
9945,5
9948,3
9950,3
9951,5
9957,2
9971,1
9973,3
9974,1
9976,1
9981,1
9983,1
9997,5
9998,5
10005,3
10006,3
10009,5
10011,1
10012,5
10016,3
10018,1
10019,1
10028,1
10029,1
10033,2
10034,5
10041,1
10042,2
10043,4
10045,3
10047,3
10048,5
10054,1
10055,1
10061,3
10062,5
10063,3
10065,3
10067,1
10068,1
10069,3
10073,1
10075,2
10080,2
10081,1
10082,1
10088,5
10100,1
10101,5
10105,1
10107,5
10109,5
10110,1
10112,5
10117,5
10122,5
10124,5
10130,3
10131,5
10133,5
10137,1
10138,5
10139,5
10142,5
10144,1
10145,1
10148,1
10149,5
10151,5
10154,3
10158,2
10164,1
10169,2
10170,2
10171,5
10172,5
10174,1
10176,5
10177,5
10181,5
10189,2
10195,5
10197,3
10198,1
10200,5
10201,1
10206,3
10207,5
10215,2
10217,5
10221,3
10224,1
10228,5
10231,1
10232,1
10234,5
10235,5
10237,1
10239,5
10241,3
10243,5
10250,1
10251,5
10254,3
10258,3
10260,5
10261,2
10271,1
10272,5
10278,2
10279,1
10282,2
10284,1
10286,3
10292,3
10294,2
10295,3
10298,5
10303,1
10307,5
10309,5
10318,1
10319,3
10321,2
10328,1
10329,1
10335,3
10338,1
10340,5
10343,5
10344,5
10348,2
10350,5
10351,5
10352,3
10354,5
10356,5
10357,5
10373,1
10381,2
10383,5
10384,1
10389,1
10391,2
10393,5
10394,1
10395,2
10396,5
10399,5
10400,5
10404,4
10406,5
10410,5
10411,1
10418,1
10427,1
10430,3
10431,1
10433,5
10435,1
10438,1
10441,2
10447,2
10453,1
10458,1
10461,3
10462,5
10464,2
10465,1
10466,3
10467,5
10469,1
10472,3
10476,2
10483,5
10492,2
10498,2
10506,2
10509,3
10510,3
10511,2
10513,5
10516,1
10518,1
10519,1
10520,2
10522,5
10523,1
10524,1
10526,1
10528,5
10533,1
10538,5
10542,1
10543,5
10548,3
10549,3
10551,5
10554,5
10558,2
10567,2
10568,5
10569,5
10571,1
10572,1
10573,5
10586,1
10587,3
10588,1
10593,1
10596,1
10597,5
10600,1
10603,2
10607,2
10612,5
10613,1
10615,5
10616,2
10617,5
10620,1
10622,1
10625,2
10626,1
10627,5
10633,5
10634,5
10639,1
10640,2
10644,5
10646,5
10647,5
10648,3
10650,3
10655,1
10661,1
10663,1
10666,5
10668,5
10671,4
10673,3
10675,4
10682,5
10683,1
10686,1
10693,2
10694,1
10696,2
10699,5
10702,5
10706,1
10719,2
10721,1
10722,5
10724,5
10726,5
10727,1
10729,2
10734,1
10739,5
10742,3
10744,5
10746,5
10747,3
10748,1
10750,1
10752,3
10755,5
10758,5
10760,2
10762,5
10763,1
10768,1
10771,1
10776,4
10778,5
10779,5
10780,1
10782,5
10783,5
10787,5
10789,1
10790,5
10791,1
10794,3
10795,2
10796,3
10799,1
10803,1
10804,1
10805,1
10808,1
10811,5
10812,5
10817,2
10818,1
10824,4
10825,5
10826,5
10827,2
10829,2
10830,5
10831,2
10845,7
10850,7
10860,6
10861,7
10864,7
10885,7
10889,6
10894,7
10895,6
10904,6
10905,7
10911,6
10917,7
10919,7
10928,6
10930,7
10934,7
10942,6
10947,6
10948,7
10949,7
10951,7
10967,6
10968,7
10974,7
10983,7
10994,7
11013,7
11024,7
11034,6
11040,6
11048,7
11060,7
11062,7
11069,6
11074,7
11080,7
11086,7
11088,6
11090,6
11100,6
11105,6
11121,7
11124,6
11133,7
11138,7
11142,7
11145,7
11150,7
11159,6
11167,7
11169,6
11172,7
11188,7
11190,6
11194,6
11204,7
11211,6
11218,7
11220,6
11232,7
11237,7
11244,6
11248,7
11266,7
11269,7
11278,7
11284,7
11285,6
11286,7
11321,7
11322,7
11327,7
11328,6
11349,7
11354,7
11358,7
11361,6
11362,7
11363,7
11364,6
11370,6
11371,7
11375,6
11388,7
11411,7
11419,7
11430,7
11437,7
11440,7
11443,6
11448,6
11453,6
11462,6
11463,7
11465,7
11469,7
11484,6
11497,7
11509,7
11510,6
11533,7
11549,7
11551,7
11556,6
11557,7
11559,7
11566,7
11578,7
11600,7
11604,7
11606,6
11607,7
11609,6
11613,6
11615,6
11622,6
11631,7
11637,6
11640,6
11646,6
11649,6
11650,7
11653,6
11656,7
11657,6
11669,6
11673,7
11677,7
11684,6
11685,7
11692,7
11705,7
11721,6
11729,6
11737,7
11738,6
11746,7
11748,7
11749,7
11752,7
11754,6
11755,7
11765,7
11773,7
11776,7
11780,7
11836,6
11845,7
11846,7
11861,7
11870,6
11871,6
11874,7
11877,7
11912,7
11919,6
11922,7
11926,6
11927,6
11929,6
11947,6
11948,7
11949,7
11953,7
11962,7
11963,6
11965,6
11968,7
11978,6
11983,7
11990,6
11993,6
11996,7
12005,6
12007,6
12011,7
12013,7
12016,6
12017,7
12020,7
12027,6
12031,7
12033,7
12034,7
12041,7
12042,6
12053,7
12058,7
12059,6
12063,7
12065,7
12067,7
12070,6
12079,7
12084,6
12093,6
12095,7
12096,6
12097,6
12100,7
12106,7
12109,7
12110,7
12111,7
12121,7
12127,6
12128,7
12133,6
12138,6
12145,6
12166,7
12176,6
12190,7
12198,7
12203,7
12227,6
12228,6
12242,7
12250,6
12269,7
12285,6
12289,6
12290,7
12294,6
12295,6
12307,7
12312,7
12328,6
12329,7
12334,7
12335,7
12348,6
12363,6
12364,7
12366,6
12367,6
12370,6
12372,7
12378,6
12379,7
12383,7
12386,6
12392,7
12396,7
12397,7
12400,6
12401,7
12409,6
12414,6
12418,6
12419,7
12424,6
12426,7
12431,6
12432,7
12438,7
12446,7
12449,7
12452,6
12454,6
12467,6
12485,7
12487,6
12492,7
12493,7
12497,7
12500,7
12532,7
12546,6
12549,6
12567,6
12568,7
12570,6
12577,7
12583,6
12588,7
12594,7
12598,6
12611,6
12620,7
12627,6
12631,7
12641,7
12651,6
12657,6
12660,7
12667,6
12693,7
12696,7
12701,6
12702,6
12713,7
12731,7
12733,7
12743,7
12746,7
12750,7
12752,7
12756,7
12764,6
12765,6
12770,6
12790,7
12803,7
12809,7
12814,7
12819,7
12822,7
12833,6
12840,7
12845,7
12853,7
12868,6
12877,6
12879,6
12882,6
12889,6
12890,6
12898,6
12912,6
12919,7
12932,6
12948,7
12958,7
12961,6
12962,7
12976,6
12977,7
12978,6
12980,7
12986,7
12988,7
12994,7
12995,6
12996,7
13004,6
13008,6
13010,7
13020,7
13022,6
13024,7
13025,6
13056,7
13061,6
13063,6
13071,6
13073,6
13079,7
13084,6
13088,7
13095,6
13106,7
13110,7
13125,6
13127,7
13131,6
13150,7
13151,6
13152,6
13153,6
13155,6
13163,6
13177,6
13190,7
13195,6
13208,7
13213,7
13217,7
13218,6
13225,6
13226,6
13238,6
13260,6
13261,6
13273,6
13278,7
13283,7
13284,7
13304,6
13306,7
13307,6
13309,6
13323,6
13324,6
